date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-10-30 15:15:00,124.85,125.2,124.75,124.975,667174.0,2023-10-30 15:15:00
2023-10-30 15:00:00,124.84,125.01,124.68,124.85,681386.0,2023-10-30 15:00:00
2023-10-30 14:45:00,125.04,125.06,124.805,124.835,453204.0,2023-10-30 14:45:00
2023-10-30 14:30:00,124.771,125.065,124.75,125.03,417393.0,2023-10-30 14:30:00
2023-10-30 14:15:00,124.88,124.94,124.74,124.76,517995.0,2023-10-30 14:15:00
2023-10-30 14:00:00,125.2,125.222,124.88,124.88,481693.0,2023-10-30 14:00:00
2023-10-30 13:45:00,124.86,125.21,124.755,125.2,551709.0,2023-10-30 13:45:00
2023-10-30 13:30:00,125.029,125.22,124.7,124.85,630128.0,2023-10-30 13:30:00
2023-10-30 13:15:00,124.205,125.04,124.205,125.02,748582.0,2023-10-30 13:15:00
2023-10-30 13:00:00,124.245,124.451,124.13,124.2,578716.0,2023-10-30 13:00:00
2023-10-30 12:45:00,124.255,124.345,123.99,124.245,587154.0,2023-10-30 12:45:00
2023-10-30 12:30:00,124.26,124.608,124.16,124.25,530992.0,2023-10-30 12:30:00
2023-10-30 12:15:00,124.67,124.78,124.24,124.271,484212.0,2023-10-30 12:15:00
2023-10-30 12:00:00,124.6,124.775,124.42,124.67,485957.0,2023-10-30 12:00:00
2023-10-30 11:45:00,124.494,124.69,124.3,124.62,493841.0,2023-10-30 11:45:00
2023-10-30 11:30:00,124.24,124.63,124.2,124.495,742257.0,2023-10-30 11:30:00
2023-10-30 11:15:00,124.21,125.27,123.96,124.235,683907.0,2023-10-30 11:15:00
2023-10-30 11:00:00,124.39,124.805,124.21,124.21,662646.0,2023-10-30 11:00:00
2023-10-30 10:45:00,123.84,124.545,123.77,124.37,988486.0,2023-10-30 10:45:00
2023-10-30 10:30:00,123.72,124.37,123.61,123.83,882331.0,2023-10-30 10:30:00
2023-10-30 10:15:00,124.28,124.31,123.39,123.72,1348252.0,2023-10-30 10:15:00
2023-10-30 10:00:00,125.14,125.4,123.31,124.28,1612216.0,2023-10-30 10:00:00
2023-10-30 09:45:00,124.22,125.155,124.14,125.13,2208438.0,2023-10-30 09:45:00
2023-10-30 09:30:00,123.21,124.23,122.75,124.21,2501528.0,2023-10-30 09:30:00
2023-10-30 09:15:00,123.14,123.39,123.0,123.25,66990.0,2023-10-30 09:15:00
2023-10-30 09:00:00,123.25,123.44,123.02,123.145,20222.0,2023-10-30 09:00:00
2023-10-30 08:45:00,123.33,123.415,120.455,123.31,22145.0,2023-10-30 08:45:00
2023-10-30 08:30:00,123.43,123.45,123.16,123.295,29189.0,2023-10-30 08:30:00
